,Ticker,neg,neu,pos,compound,Anamoly Score
0,DPZ,0.02037,0.9084399999999999,0.07119,0.09032,-0.07429985612131773
1,CLF,0.031310000000000004,0.8698899999999999,0.09878999999999998,0.11090399999999999,-0.06888714204092783
2,RAD,0.06429,0.8437999999999998,0.09192,0.07381099999999999,-0.06263306712911154
3,WOR,0.05389,0.89036,0.055749999999999994,0.01588,-0.053663642116504096
4,TUP,0.07626000000000001,0.8173699999999998,0.10637,0.06309799999999999,-0.05265951922144252
5,GEL,0.01129,0.7676900000000001,0.22104000000000001,0.307576,-0.0521944418189737
6,DECK,0.022109999999999994,0.8668600000000001,0.11104000000000001,0.147424,-0.04721880199621398
7,MSCI,0.05672,0.82808,0.11519,0.10828499999999998,-0.038311354086822735
8,BRFS,0.032869999999999996,0.87304,0.09408,0.09648800000000002,-0.037389304257070655
9,TRUP,0.03502,0.8591699999999999,0.10576,0.13263499999999998,-0.0365252784608453
